driverId,week,hours-logged,miles-logged
28,6,64,800
83,42,58,1800
58,50,67,3800
104,44,67,3200
31,4,56,400
27,6,63,1800
76,52,51,700
33,11,50,2800
77,34,55,1400
31,29,63,1600
14,1,70,0
86,46,65,500
11,35,58,2100
67,25,61,3700
102,30,68,1800
47,25,56,200
13,15,63,2200
97,26,52,1600
44,8,58,3500
108,38,78,2400
72,6,52,3300
39,42,69,1500
48,38,74,2900
87,41,79,0
42,15,51,2700
102,15,61,2700
29,17,72,1800
67,39,61,3200
94,17,63,2800
71,16,79,3300
105,47,78,3600
65,41,57,3600
65,48,70,400
44,6,64,500
56,33,65,100
23,31,57,2200
33,13,50,2500
51,44,60,2700
51,25,67,700
16,3,71,1100
26,42,77,2500
48,41,70,2600
72,50,56,3600
72,50,56,1000
93,9,72,1300
26,1,80,3200
69,37,70,3500
86,11,57,1700
57,8,56,3900
37,31,52,800
42,22,56,1400
72,22,67,2600
83,6,80,1000
45,25,56,3600
69,19,72,2100
81,27,79,1500
71,29,72,2000
34,47,57,2500
40,25,58,2100
31,21,76,100
21,7,53,1900
22,39,50,3200
23,52,80,2400
55,1,59,3100
17,49,64,300
41,14,60,3300
59,43,78,2700
39,29,50,2100
57,18,53,400
102,31,51,200
48,23,68,3700
93,15,56,3100
57,43,54,2200
58,4,63,2700
25,42,61,2000
29,37,74,200
43,30,54,600
11,5,75,1200
103,37,67,200
63,20,73,700
41,3,65,2600
39,18,54,200
56,39,60,2700
103,1,65,2400
87,3,69,3200
73,12,71,300
58,45,75,3400
92,6,68,1900
11,14,67,2500
52,45,55,2200
76,36,80,1800
22,16,72,2200
33,21,67,400
18,36,57,2600
77,22,78,600
89,50,73,2000
49,8,54,1000
17,38,71,2300
79,32,71,200
48,30,54,800
81,10,63,1800
24,43,75,3300
64,31,80,2400
108,23,64,2400
44,43,74,2700
32,37,51,1800
14,10,64,3100
109,37,52,2300
76,27,53,3500
70,25,55,1900
103,52,74,1900
77,24,75,3400
56,40,74,1900
28,7,59,2500
85,34,72,3000
68,31,52,3800
87,43,57,1000
107,15,69,200
93,7,80,300
49,50,56,1900
92,23,50,3800
84,2,64,1200
89,39,53,2800
104,14,74,500
33,39,65,700
32,30,71,1200
12,24,70,1500
77,11,58,300
66,45,54,1800
84,45,66,3400
55,34,65,200
30,21,70,3500
96,15,53,2500
83,31,78,1500
21,34,64,900
23,11,66,3400
66,16,58,100
61,29,57,3700
73,10,70,3700
35,16,64,2100
28,49,74,3000
57,7,71,2700
26,39,68,3800
78,48,66,1500
32,14,66,2300
75,18,74,3300
97,21,76,900
75,3,67,1100
83,40,72,1400
89,6,64,900
52,47,60,700
78,4,57,100
98,20,68,2400
64,41,62,3300
75,43,57,0
63,46,61,1900
39,5,70,900
56,40,58,3100
65,44,56,2400
55,46,51,1000
49,42,75,3300
83,5,54,500
49,43,69,1400
21,47,76,300
97,44,80,2500
105,35,78,1600
19,20,63,2900
67,9,67,3600
109,52,80,400
34,22,60,1000
50,10,59,2300
77,39,59,200
45,22,74,2300
52,7,52,3300
15,35,55,400
49,13,75,1500
81,38,55,3100
44,36,53,1300
101,29,72,1200
104,15,53,3900
78,34,52,3000
107,37,63,3400
88,33,67,1200
25,45,77,3900
91,19,58,1600
16,15,69,3900
70,4,57,3400
86,35,75,2000
59,22,62,3100
109,21,59,1800
31,43,66,1000
75,13,75,800
91,16,73,1500
65,8,51,3000
42,19,79,3200
88,47,57,1300
21,35,66,1600
76,30,52,1000
108,31,70,1800
69,24,57,800
103,40,78,2100
46,41,65,3300
15,8,61,1900
46,34,75,1400
39,43,53,1800
31,27,51,2800
67,11,66,1100
79,5,62,900
39,37,58,1900
49,7,69,1400
12,30,77,1200
52,40,56,3400
65,17,52,900
68,52,61,1200
60,27,59,2400
98,30,60,3700
109,4,59,4000
78,6,64,2200
98,35,52,3900
38,25,51,700
47,52,65,600
82,4,66,2100
34,37,73,2400
108,5,67,2000
81,24,53,3600
28,20,72,3500
17,26,74,2300
74,16,60,1000
52,3,79,2200
20,11,60,2600
11,50,59,3500
10,23,64,1200
37,40,76,2500
41,25,60,3400
63,24,54,3300
29,5,60,0
36,52,63,3000
62,35,77,1900
34,42,67,1400
17,34,50,200
53,19,57,2100
48,29,59,1200
24,27,73,2900
92,47,53,3500
43,13,52,1400
45,51,69,600
99,47,65,400
27,22,68,1300
83,16,78,1000
14,36,76,4000
101,52,67,2000
58,43,67,3900
41,2,66,2900
61,9,65,3700
65,47,72,1200
67,3,72,900
65,19,71,3400
25,4,71,2900
19,25,75,3400
18,3,61,100
76,9,54,3300
56,12,63,1000
96,22,62,600
105,29,51,3400
21,3,53,1700
33,29,63,3400
95,9,75,0
27,20,66,200
77,7,57,2400
66,11,61,1600
84,14,73,3300
22,27,68,3200
100,51,69,800
23,6,56,800
37,24,67,1800
61,23,61,3200
98,8,66,900
43,15,58,3100
109,27,61,1100
80,26,66,3000
100,16,69,3000
56,9,64,1800
43,48,60,2000
36,14,75,2700
80,52,73,2600
57,21,77,3200
12,10,73,3000
55,7,59,1500
105,33,64,500
72,33,51,3800
11,4,69,3600
35,42,73,3200
67,16,64,2700
49,10,54,2500
62,13,73,800
11,42,80,2000
68,10,52,400
86,52,79,300
10,40,70,2700
100,48,52,1600
36,38,76,1000
91,49,60,3500
69,30,54,700
84,13,72,2700
20,3,69,3600
40,11,55,2300
29,2,61,100
19,33,74,3400
25,43,56,900
27,32,61,2500
53,28,57,700
65,24,71,900
73,1,72,2200
99,22,74,200
44,2,66,2800
87,24,78,800
80,36,73,2800
12,31,72,500
60,46,50,2800
50,23,59,0
85,44,71,2900
69,51,58,400
66,32,80,2600
29,10,75,2000
108,24,73,0
89,2,72,500
19,36,70,2800
83,39,80,400
90,46,51,400
106,39,68,0
90,32,72,1000
102,49,61,2500
59,11,75,3400
16,4,77,1000
34,16,61,2700
57,27,50,1100
85,28,74,1600
105,6,51,3800
107,22,76,2500
78,23,75,400
77,18,73,400
77,18,78,1000
92,8,50,2800
106,44,71,400
94,45,70,600
64,49,60,2600
32,4,75,400
69,33,77,3400
23,40,61,2300
103,22,69,2200
71,41,55,100
100,4,55,3200
38,51,50,1900
41,38,57,1800
61,20,61,400
26,38,78,1700
72,8,56,2000
51,29,70,2200
77,5,64,3400
44,39,75,2100
25,36,66,1700
40,29,73,900
12,14,68,1200
104,27,51,500
100,44,74,2300
44,5,59,1400
54,36,56,3300
77,23,71,1200
100,6,66,1600
44,41,78,3100
52,44,80,2500
105,25,59,3500
64,37,51,2900
35,13,74,1500
106,5,76,4000
66,3,53,2200
72,25,57,1500
70,9,62,2300
72,19,67,2600
34,14,63,400
16,34,59,3800
33,7,76,2600
58,43,60,2100
52,20,51,3800
30,11,77,2100
78,11,51,3700
10,30,69,2600
32,46,54,2900
45,41,78,100
79,42,53,400
82,46,63,1300
14,22,75,2800
79,25,75,400
22,16,63,1600
105,30,68,1700
25,12,55,300
52,39,74,1000
33,24,75,500
59,9,54,3100
69,4,74,1600
31,43,60,3700
108,9,75,2500
53,45,58,1200
95,6,55,1700
34,26,76,2100
56,31,77,1400
94,34,75,2400
59,34,69,1500
92,33,80,0
94,9,80,3400
69,18,67,2500
98,39,61,2600
106,37,68,3000
57,37,55,2600
107,37,57,2400
20,5,56,1600
48,8,55,800
109,13,56,600
69,21,66,600
93,24,60,3500
83,1,73,100
74,45,61,2600
27,5,61,300
29,35,51,3500
36,37,50,2500
37,34,70,3000
52,24,64,1600
23,51,69,3300
32,7,58,1700
31,29,60,1700
50,52,68,1100
75,26,57,500
99,40,65,3200
18,41,78,2200
38,42,62,2600
29,50,63,3200
66,28,57,1000
32,51,57,3700
94,4,65,1800
102,17,63,3300
34,33,63,2800
84,35,76,600
90,6,80,200
67,25,76,1100
24,14,56,2200
77,37,51,100
36,37,75,3900
68,50,50,700
39,21,63,3600
105,48,71,0
30,3,52,500
58,42,62,3100
83,33,64,1100
108,36,73,1200
37,17,61,3700
108,30,73,2200
70,45,73,3800
20,13,64,2000
15,52,74,500
101,27,61,2100
85,22,72,2300
26,37,79,900
94,25,77,2600
90,10,60,0
102,23,62,1500
28,28,58,1200
65,33,72,1200
103,51,80,1700
54,38,75,1700
85,25,69,3700
56,29,55,900
46,23,71,700
46,6,60,1400
96,40,60,3400
41,28,69,2200
30,52,70,1400
46,33,56,1800
55,44,60,1800
94,14,68,3100
48,10,65,1600
82,51,73,2600
66,45,56,2200
106,37,57,2200
104,27,50,600
49,16,69,3000
79,47,50,1700
45,46,50,700
10,52,60,2300
79,23,63,3500
97,10,58,2800
102,50,63,3300
18,33,76,2400
34,49,60,300
25,13,59,300
29,20,50,2400
45,23,55,400
88,8,62,3400
70,24,51,2000
76,6,73,1800
14,51,58,1600
89,22,63,2100
37,48,60,2200
11,40,64,3700
83,2,61,1800
